report_date,orders_all_np,AffiliatesAll_spend,DisplayAll_spend,SEMConversionXX_spend,SEMConversionOther_spend,SocialEngagement_spend,SocialConversion_spend,VideoEngagement_spend,VideoConversion_spend,VideoConversionPMAX_spend,OTTall_spend,TVall_spend,organic_seo_non_brand_clicks,organic_email_sends,covid_Q1_22,covid_Q2_22,search_terms_xxxx_core_brand_terms_searches,gcr_per_order_overall_ssl_avg_7d,gcr_per_order_overall_dom_protection_avg_7d,gcr_per_order_overall_dom_registration_avg_7d,gcr_per_order_overall_dom_marketplace_avg_7d,gcr_per_order_overall_o365_avg_7d,brand_tracker_gen_pop_describes_xxxx_aligns_values_lag_2qtr,brand_tracker_gen_pop_unaided_awareness_domains_web_hosting_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_brand_trust_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_proud_to_use_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_aligns_values_lag_3qtr,brand_tracker_gen_pop_aided_awareness_lag_1qtr,cli,market_share_xxxx_net_adds_total_pct
2021-01-01,1508,1938.294,3729.40819,2687.7,12485.57,0,2628.82,1378.7594,1180.7603,0,0,23406.77635,677,73966,0,0,49.18285808,106.4424747,14.14087629,17.00122329,187.4178441,40.020706,0.222222222,0.439830508,0.248,0.256140351,0.222222222,0.741525424,101.0638,47.4
2021-01-02,1743,2313.849,4240.90397,3204.85,15453.41,0,2823.77,1298.3052,1285.34401,0,0,22922.04317,529.5,61493,0,0,57.89553071,105.4298877,13.92072086,16.64715086,176.172436,40.39210571,0.222253824,0.440061791,0.247722329,0.256110112,0.222209721,0.741461142,101.0638,51.1
2021-01-03,1762,1920.731,4608.84961,3048.14,15460.04,0,2612.67,1308.46837,1301.00213,0,0,26842.12836,576,57236,0,0,59.05883398,108.627073,13.75464671,16.57174843,263.4831503,41.03169514,0.222285365,0.440287487,0.247440718,0.25608005,0.222197247,0.741400837,101.0638,46
2021-01-04,2544,2701.538,4779.59883,4239.07,18099.52,0,2766.35002,1276.38484,1299.09685,0,0,20214.07936,850,157435,0,0,92.15223383,112.0024081,13.80516743,16.70919929,308.8231503,42.42833714,0.222316812,0.440507394,0.24715532,0.2560502,0.222184813,0.741344495,101.0638,45.8
2021-01-05,2542,2484.481,4680.10428,4330.8,18091.61,64.5375,2729.21398,1211.32759,1240.63956,0,0,25547.52777,743,111279,0,0,89.0615116,111.9159563,13.73587314,16.44392914,430.2852381,42.74952529,0.222348127,0.440721317,0.246866288,0.256020595,0.222172433,0.741292098,101.0638,44.2
2021-01-06,2457,2316.71,4025.24789,3982.71,15701.39,163.41307,1673.26923,1167.43564,1208.87741,0,0,19081.81234,743,137947,0,0,82.21896387,110.8473706,13.94202543,16.55288029,514.2104081,43.480349,0.222379276,0.440929066,0.246573784,0.25599127,0.222160122,0.741243622,101.0638,47.2
2021-01-07,2458,3274.39,3594.87284,3655.5,15763.98,0,1744.69831,1190.67958,1207.94391,0,0,21824.92978,730,141401,0,0,82.59621602,122.4281666,13.97945171,16.56572186,577.7667573,44.71345014,0.222410223,0.441130461,0.246277974,0.255962257,0.222147894,0.741199041,101.0638,85.7
2021-01-08,2377,3327.281,3348.69173,3476.51,14781.23,398.46383,1738.16009,1181.34721,1187.97067,0,0,25254.27405,677,91566,0,0,76.62238654,125.8915951,14.01669657,16.81699014,633.1596144,45.30160229,0.222440933,0.441325327,0.245979028,0.255933589,0.222135762,0.741158322,101.0638,46.2
2021-01-09,1680,3137.856,3173.56493,3488.69,14509.6,896.83266,1632.61231,1185.12578,1194.92707,0,0,14236.79311,581,56267,0,0,57.17748414,124.962369,14.68206229,17.36121186,636.6774716,45.15630357,0.222471372,0.441513497,0.245677121,0.255905297,0.22212374,0.741121427,101.0638,45.1
2021-01-10,1796,2271.082,3123.78951,4044.88,17001.56,188.99381,1495.8479,1179.86145,1255.09496,0,0,15693.26664,675,55930,0,0,59.42762065,123.1141217,14.79647629,17.35774929,546.8977097,44.84001357,0.222501505,0.441694811,0.245372432,0.255877414,0.222111842,0.741088316,101.0638,46.2
